tweet_id,created_at,text,user_id,klout_score
589591573157040128,2015-04-19 00:49:19,The one nice thing about having the flu is that I'll be really skinny once this is all over. Staying positive.,498495662,24
589788483381764096,2015-04-19 13:51:46,@KnicksFanGuy 50$ says he won't get the flu!,291492878,25
589810231162630145,2015-04-19 15:18:11,I think my fever is coming back.. Is that even possible?  #help,2269412808,17
589851439264043009,2015-04-19 18:01:56,"Manuka Honey the Louis Vuitton of Honey's. My sister just brought me some, trying to cure my flu. So sweet.",108949746,42
589909627443228672,2015-04-19 21:53:09,All i know that at least nyk fans are loyal *cough cough*,442477496,38
589917745703182338,2015-04-19 22:25:25,This cough is great,311616824,37
589932289284513792,2015-04-19 23:23:12,"Less than an hour until my rec basketball playoff game less than a day after I ran 20 miles. This is going to be my ""Jordan flu game"" game.",90194148,46
589949678956982273,2015-04-20 00:32:18,I feel sick  #fever #headache,2401851943,21
590108804467032064,2015-04-20 11:04:37,* Streptococcus pyogenes (Group A beta-hemolytic streptococcus) * H.influenza * S. aureus * Streptococcus pneumoniae,3130038929,34
590108916555579392,2015-04-20 11:05:04,"Differential diagnosis Infectious mononucleosis Malignancy: lymphoma, leukemia, carcinoma Diptheria Scarlet fever Agranulocytosis",3130038929,34
590109903894749185,2015-04-20 11:08:59,"Adenoid Disease * Triad of hyponasality, snoring, and mouth breathing * Rhinorrhea, nocturnal cough, post nasal drip * ""Adenoid facies""",3130038929,34
590110420612079616,2015-04-20 11:11:02,History * Documentation of episodes by physician * FTT * Cor pulmonale * Poststreptococcal GN * Rheumatic fever,3130038929,34
590111323658268672,2015-04-20 11:14:37,"#1 Postoperative bleeding Other * Sore throat, otalgia, uvular swelling * Respiratory compromise * Dehydration * Burns and iatrogenic trauma",3130038929,34
590131104247582720,2015-04-20 12:33:14,"@Bobblespeak @cakreiz / Not a proud day for the democrats, or America. Too many democrats caved in to war fever.",395484842,52
590177048938831872,2015-04-20 15:35:48,@PauloG25 *cough cough*,401487057,33
590212791979610112,2015-04-20 17:57:49,Marathon fever @b_a_a_ #run #runchat #mile23 #marathonmonday @ Boston Marathon Mile 23 https://t.co/EM8CkczlWU,627016099,24
590263579577864193,2015-04-20 21:19:38,"I gripe about it most of the year, and gives me a breakdown occasionally, but when it's finally here I mark out for the #BostonMarathon.",426949514,25
590271935747067904,2015-04-20 21:52:50,"Use to havin my hands being wrapped for Boxing drills. Now my ribs being wrapped d/t respiratory flu, Day #7. Finally some lung relief",108949746,41
590273042405789697,2015-04-20 21:57:14,woke up with a fever but at least I got hired,2222244698,18
590283895083380736,2015-04-20 22:40:22,5.3 million chickens at risk after bird flu found at Iowa farm: The U.S. Department of Agriculture says the bird... http://t.co/Suh3KlIMHY,70291924,45
590283904235352065,2015-04-20 22:40:24,Bird flu confirmed at Iowa farm with 5.3 million chickens: The U.S. Department of Agriculture says the bird flu... http://t.co/cfN2lyInMH,70291924,45
590351531838308352,2015-04-21 03:09:08,"Marathon Monday never fails to provide me with blisters on my feet, a hangover from hell, and a sore throat",44818149,27
590358510325653504,2015-04-21 03:36:51,I haven't felt this horrible since my 103* fever in the fall,426084826,40
590403531133231105,2015-04-21 06:35:45,Bird flu takes biggest toll yet as virus hits chicken farms: Poultry producers and scientists have been hoping... http://t.co/5FMrJoBmNj,70291924,45
590481377155555328,2015-04-21 11:45:05,Had to pick my dad up at the airport around 2am and now I have a fever ... Where's my good karma at? #idontwanttobesickanymore,42068477,31
590486191935528960,2015-04-21 12:04:13,What a great day. Didn't cough all night and I'm finally eating AND I think im gonna make it through work today,2597999306,27
590501863193186304,2015-04-21 13:06:29,"Another #funfact, Ricketsia is responsible for typhus and Rocky Mountain Spotted Fever. Glad our mitochondria decided to chill out.",1053020250,22
590502622077046784,2015-04-21 13:09:30,"I have never had a worse sore throat in my life, i can't even swallow water",168287452,40
590529513332809728,2015-04-21 14:56:22,I've got #Marathon fever,333006525,37
590585229666082817,2015-04-21 18:37:45,@KirziaSteele *cough* ghostface killah *cough* *hack* deathgrips *hack* *respiration* action bronson *respiration* (kendrick still wins tho),310069024,52
590643974899179521,2015-04-21 22:31:11,@Zoumatic @Rickyinho_ *cough Giroud *cough,127382759,60
590647113975001088,2015-04-21 22:43:40,Back to running 3 miles a day. I guess I didn't catch that #SWCA flu!,223892721,48
590656844902825985,2015-04-21 23:22:20,My throat hurts from coughing  I need cough medicine like seriously.,488808201,47
590683840630366210,2015-04-22 01:09:36,Cough cough i won are last game  https://t.co/z00Z0KYiHU,442477496,39
590690635050590210,2015-04-22 01:36:36,@misskleah_ *cough cough*,240022476,34
590713142361120768,2015-04-22 03:06:02,Just took 3 tbsp of night time cough medicine. It's bout to be a trippy nighttttt,158618191,32
590764733789294592,2015-04-22 06:31:03,I'm having ridiculous baby fever.,352391681,37
590846636135448577,2015-04-22 11:56:30,"- Side effects neuromuscular impairment, skin slough, fever and liver enzyme elevation",3130038929,34
590884772710207488,2015-04-22 14:28:02,"""bless you"" ""that was a cough"" ""I'm going to bless you anyways"" @LorrainyMadrona [?]",451060640,33
590900133602045952,2015-04-22 15:29:04,"Worried sick over canine flu? Tips to help protect your pup: An outbreak of canine flu has sickened more than 1,000... http://t.co/UBUj6sQpbC",70291924,46
590948792234545152,2015-04-22 18:42:26,These cough drops aren't working,488808201,47
590976187423330304,2015-04-22 20:31:17,"CDC eyeing bird flu vaccine for humans, though risk is low: Federal officials said Wednesday they're taking steps... http://t.co/F7CD1kQVA7",70291924,46
590976343698972672,2015-04-22 20:31:54,@amuskatello5 cough cough bandwagon,341074953,41
590977628934397952,2015-04-22 20:37:01,@GarrettNeiss sucks you had the stomach flu right after the big game,90194148,45
590998249957392384,2015-04-22 21:58:57,These cough drops aren't helping,488808201,47
591036379498471424,2015-04-23 00:30:28,@jimmyfallon eating at a restraunt where you had your lobster issue in Fever Pitch,2272028537,27
591036774496997376,2015-04-23 00:32:02,woke up from my nap with a headache and fever on top of coughing and sneezing :'),451060640,33
591036810605764608,2015-04-23 00:32:11,its great to be back in boston!! i just saw a homeless man cough up flem into his hands and flick it onto the floor of the train #nice,1535386898,38
591100902871801856,2015-04-23 04:46:52,"I have to babysit again @ 8am and clean my entire house while I have a fever, sore throat, stuffed nose and im achy af. I can't even sleep",168287452,40
591107759405457409,2015-04-23 05:14:06,Cough quoted Mando  https://t.co/zU7V9aQjsI,723036500,43
591238066305687552,2015-04-23 13:51:54,"Lmaoooooo RT @BLHolla: Ava Devine's asshole falling out, then popping it back in to continue the scene is the MJ Flu Game of porn",202415340,60
